series,peak_month,trough_month,amp_pct,amp_lo,amp_hi,seasonal_strength
total,May,January,18.96137447355991,16.452197724024177,24.739297718852395,0.7929196387445268
public,May,October,22.16052600814362,19.356454597041463,29.129273458782606,0.7699572308664262
private,May,October,14.3653956883661,12.172674914596326,19.603997742675922,0.7456480654896152
