dist_lgd,n_months,n_raw_surges,n_raw_dips,sign_flip_rate,surge_artefact_rate,dip_artefact_rate,surge_artefact_among_surges,dip_artefact_among_dips,method,n_complete,med_total
60,52,17,14,0.36538461538461536,0.2692307692307692,0.23076923076923078,0.8235294117647058,0.8571428571428571,STL,52,773.5
61,52,15,12,0.36538461538461536,0.21153846153846154,0.11538461538461539,0.7333333333333333,0.5,STL,52,177.5
62,52,15,10,0.4230769230769231,0.23076923076923078,0.15384615384615385,0.8,0.8,STL,52,671
63,52,14,14,0.38461538461538464,0.17307692307692307,0.17307692307692307,0.6428571428571429,0.6428571428571429,STL,52,530
64,52,14,12,0.28846153846153844,0.17307692307692307,0.11538461538461539,0.6428571428571429,0.5,STL,52,167.5
65,52,11,14,0.36538461538461536,0.11538461538461539,0.17307692307692307,0.5454545454545454,0.6428571428571429,STL,52,190
66,52,15,13,0.3076923076923077,0.11538461538461539,0.1346153846153846,0.4,0.5384615384615384,STL,52,173.5
67,52,14,10,0.23076923076923078,0.17307692307692307,0.1346153846153846,0.6428571428571429,0.7,STL,52,438
68,52,18,12,0.2692307692307692,0.25,0.11538461538461539,0.7222222222222222,0.5,STL,52,181
69,52,18,18,0.21153846153846154,0.21153846153846154,0.17307692307692307,0.6111111111111112,0.5,STL,52,145.5
70,52,16,13,0.36538461538461536,0.17307692307692307,0.1346153846153846,0.5625,0.5384615384615384,STL,52,189.5
71,52,17,12,0.40384615384615385,0.21153846153846154,0.09615384615384616,0.6470588235294118,0.4166666666666667,STL,52,400
72,52,13,10,0.36538461538461536,0.11538461538461539,0.09615384615384616,0.46153846153846156,0.5,STL,52,228
73,52,14,10,0.34615384615384615,0.19230769230769232,0.09615384615384616,0.7142857142857143,0.5,STL,52,480.5
74,52,13,12,0.3269230769230769,0.17307692307692307,0.1346153846153846,0.6923076923076923,0.5833333333333334,STL,52,273
75,52,13,10,0.38461538461538464,0.15384615384615385,0.11538461538461539,0.6153846153846154,0.6,STL,52,388.5
76,52,10,9,0.38461538461538464,0.057692307692307696,0.11538461538461539,0.3,0.6666666666666666,STL,52,257.5
77,52,12,11,0.46153846153846156,0.17307692307692307,0.15384615384615385,0.75,0.7272727272727273,STL,52,929.5
78,52,10,11,0.34615384615384615,0.17307692307692307,0.11538461538461539,0.9,0.5454545454545454,STL,52,518.5
79,52,13,9,0.4423076923076923,0.17307692307692307,0.1346153846153846,0.6923076923076923,0.7777777777777778,STL,52,526.5
80,52,9,8,0.4423076923076923,0.11538461538461539,0.09615384615384616,0.6666666666666666,0.625,STL,52,770
81,52,10,9,0.40384615384615385,0.1346153846153846,0.09615384615384616,0.7,0.5555555555555556,STL,52,655
82,52,14,10,0.3076923076923077,0.11538461538461539,0.07692307692307693,0.42857142857142855,0.4,STL,52,288
83,52,15,8,0.40384615384615385,0.25,0.09615384615384616,0.8666666666666667,0.625,STL,52,1945.5
